0.315,0.892,0.141,0.273,0.601,0.941
0.189,0.129,0.117,0.299,0.851,0.110
0.221,0.858,0.180,0.853,0.306,0.534
0.517,0.895,0.112,0.436,0.269,0.907
0.568,0.418,0.728,0.354,0.905,0.490
0.184,0.402,0.830,0.329,0.882,0.200
0.909,0.903,0.395,0.066,0.164,0.333
0.361,0.564,0.100,0.771,0.593,0.838
0.480,0.902,0.738,0.839,0.358,0.294
0.873,0.343,0.381,0.278,0.551,0.977
0.610,0.326,0.490,0.335,0.764,0.884
0.266,0.800,0.170,0.973,0.362,0.415
0.026,0.914,0.314,0.057,0.816,0.467
0.517,0.895,0.112,0.436,0.269,0.907
0.568,0.418,0.728,0.354,0.905,0.490
0.184,0.402,0.830,0.329,0.882,0.200
0.909,0.903,0.395,0.066,0.164,0.333
0.361,0.564,0.100,0.771,0.593,0.838
0.480,0.902,0.738,0.839,0.358,0.294
0.873,0.343,0.381,0.278,0.551,0.977
0.610,0.326,0.490,0.335,0.764,0.884
0.266,0.800,0.170,0.973,0.362,0.415
0.026,0.914,0.314,0.057,0.816,0.467
